feature,slice,precision,recall,f1,samples
workclass,private,0.783,0.549,0.645,514290
workclass,local_gov,0.795,0.669,0.727,45150
workclass,federal_gov,0.811,0.551,0.656,20580
workclass,self_emp_not_inc,0.722,0.565,0.634,51030
workclass,self_emp_inc,0.806,0.763,0.784,23100
workclass,state_gov,0.808,0.738,0.771,29295
workclass,without_pay,1.0,1.0,1.0,420
marital_status,widowed,0.909,0.4,0.556,21630
marital_status,married_civ_spouse,0.775,0.636,0.699,307440
marital_status,never_married,0.946,0.327,0.486,228270
marital_status,divorced,0.821,0.311,0.451,93030
marital_status,married_spouse_absent,1.0,0.4,0.571,11550
marital_status,separated,1.0,0.25,0.4,21525
marital_status,married_af_spouse,0.0,0.0,0.0,420
relationship,not_in_family,0.886,0.343,0.494,183435
relationship,husband,0.783,0.634,0.7,271950
relationship,own_child,0.833,0.385,0.526,104475
relationship,other_relative,0.667,0.6,0.632,19320
relationship,wife,0.726,0.643,0.682,31710
relationship,unmarried,0.882,0.268,0.411,72975
race,white,0.792,0.594,0.679,586530
race,black,0.778,0.506,0.613,64365
race,asian_pac_islander,0.646,0.574,0.608,20685
race,other,0.5,0.4,0.444,5355
race,amer_indian_eskimo,0.5,0.25,0.333,6930
sex,female,0.78,0.524,0.627,227850
sex,male,0.784,0.598,0.678,456015
